global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5491,0.6153,0.2526,0.9781,0.1696,0.0847,0.9798,0.0645,101
200,25600,0.3494,0.6227,0.9974,0.2481,0.9937,0.9859,0.1048,0.0907,198
300,38400,0.1995,0.9078,0.9839,0.8316,0.8918,0.7218,0.7702,0.4919,294
400,51200,0.1192,0.9637,0.9856,0.9417,0.8803,0.4476,0.9415,0.3891,390
500,64000,0.0836,0.9535,0.9921,0.9150,0.9328,0.7359,0.8790,0.6149,485
600,76800,0.0657,0.9778,0.9674,0.9882,0.8577,0.2560,0.9899,0.2460,581
700,89600,0.0545,0.9587,0.9966,0.9208,0.9590,0.6653,0.9415,0.6069,676
800,102400,0.0393,0.9793,0.9938,0.9647,0.9585,0.6089,0.9536,0.5625,771
900,115200,0.0390,0.9858,0.9852,0.9864,0.8088,0.2480,0.9899,0.2379,866
1000,128000,0.0343,0.9883,0.9931,0.9836,0.8445,0.3972,0.9778,0.3750,961
1100,140800,0.0311,0.9707,0.9433,0.9980,0.4638,0.1089,0.9980,0.1069,1056
1200,153600,0.0236,0.9876,0.9980,0.9772,0.9737,0.5444,0.9819,0.5262,1151
1300,166400,0.0243,0.9936,0.9955,0.9917,0.8971,0.2661,0.9940,0.2601,1246
1400,179200,0.0197,0.9923,0.9975,0.9872,0.9611,0.4294,0.9859,0.4153,1341
1500,192000,0.0217,0.9544,0.9096,0.9992,0.4228,0.0746,1.0000,0.0746,1435
1600,204800,0.0196,0.9944,0.9913,0.9975,0.8540,0.2238,0.9980,0.2218,1530
1700,217600,0.0145,0.9904,0.9980,0.9827,0.9790,0.5544,0.9798,0.5343,1627
1800,230400,0.0154,0.9953,0.9958,0.9949,0.8676,0.2520,0.9960,0.2480,1722
