run,global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
s44_constant,100,12800,0.5845,0.7278,0.5391,0.9164,0.3524,0.373,0.881,0.254,108
s44_constant,200,25600,0.3605,0.617,0.2409,0.9931,0.0972,0.0484,0.994,0.0423,204
s44_constant,300,38400,0.218,0.858,0.7236,0.9925,0.3792,0.0988,0.9899,0.0887,300
s44_constant,400,51200,0.1229,0.9644,0.9791,0.9497,0.718,0.496,0.9556,0.4516,396
s44_constant,500,64000,0.0877,0.9702,0.9912,0.9492,0.9217,0.502,0.9476,0.4496,493
s44_constant,600,76800,0.0626,0.937,0.9965,0.8776,0.9806,0.8226,0.8548,0.6774,589
s44_constant,700,89600,0.0525,0.886,0.7738,0.9982,0.1654,0.0464,0.998,0.0444,685
s44_constant,800,102400,0.0417,0.9851,0.9802,0.99,0.7421,0.2923,0.9879,0.2802,781
s44_constant,900,115200,0.0374,0.9901,0.9909,0.9892,0.7931,0.3347,0.9899,0.3246,877
s44_constant,1000,128000,0.029,0.9916,0.9891,0.9942,0.8288,0.2157,0.996,0.2117,973
s44_constant,1100,140800,0.0283,0.9603,0.9993,0.9213,0.9858,0.7419,0.9214,0.6633,1068
s44_constant,1200,153600,0.0252,0.9919,0.9964,0.9875,0.8803,0.4214,0.9899,0.4113,1164
s44_constant,1300,166400,0.0239,0.9925,0.9876,0.9975,0.8246,0.1613,0.998,0.1593,1260
s44_constant,1400,179200,0.0173,0.8855,1.0,0.7711,0.9984,0.8367,0.7681,0.6048,1357
s44_constant,1500,192000,0.018,0.9866,0.9989,0.9743,0.9238,0.4899,0.9839,0.4738,1453
s44_constant,1600,204800,0.0204,0.9964,0.9968,0.996,0.7967,0.2702,0.996,0.2661,1549
s44_constant,1700,217600,0.0159,0.9955,0.9977,0.9934,0.8703,0.2883,0.994,0.2823,1645
s44_constant,1800,230400,0.0135,0.9941,0.9989,0.9893,0.9569,0.4194,0.9899,0.4093,1741
s48_constant,100,12800,0.5581,0.6828,0.9774,0.3882,0.9296,0.9335,0.2016,0.1351,101
s48_constant,200,25600,0.3528,0.8556,0.7882,0.9231,0.5215,0.254,0.9335,0.1875,196
s48_constant,300,38400,0.2113,0.8592,0.9826,0.7357,0.9412,0.746,0.7137,0.4597,292
s48_constant,400,51200,0.1216,0.8314,0.6679,0.9948,0.2694,0.0827,0.994,0.0766,387
s48_constant,500,64000,0.0817,0.8371,0.676,0.9983,0.1943,0.0524,0.998,0.0504,482
s48_constant,600,76800,0.072,0.9374,0.8772,0.9976,0.5741,0.0907,0.998,0.0887,578
s48_constant,700,89600,0.061,0.9825,0.9882,0.9768,0.8598,0.3649,0.9738,0.3387,673
s48_constant,800,102400,0.0426,0.9563,0.9969,0.9158,0.9832,0.7621,0.871,0.6331,768
s48_constant,900,115200,0.0358,0.9792,0.9972,0.9611,0.9632,0.5847,0.9577,0.5423,864
s48_constant,1000,128000,0.0313,0.9563,0.9992,0.9135,0.9932,0.7218,0.9375,0.6593,960
