global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5047,0.8514,0.9232,0.7796,0.8477,0.6290,0.6956,0.3246,136
200,25600,0.2837,0.8829,0.8249,0.9408,0.6681,0.5625,0.8911,0.4536,264
300,38400,0.2305,0.9036,0.8443,0.9630,0.6660,0.5403,0.9153,0.4556,394
400,51200,0.1956,0.8786,0.9842,0.7730,0.9196,0.8851,0.6190,0.5040,524
500,64000,0.1757,0.9227,0.9507,0.8947,0.8157,0.7843,0.8266,0.6109,655
600,76800,0.1591,0.9074,0.9786,0.8362,0.9039,0.8347,0.7621,0.5968,784
700,89600,0.1458,0.8964,0.8107,0.9822,0.4890,0.5323,0.9677,0.5000,912
800,102400,0.1231,0.9541,0.9369,0.9713,0.7243,0.5685,0.9516,0.5202,1042
900,115200,0.1129,0.9316,0.9936,0.8695,0.9149,0.9032,0.8024,0.7056,1172
1000,128000,0.1036,0.9676,0.9686,0.9666,0.7542,0.7198,0.9516,0.6714,1301
1100,140800,0.0787,0.6863,0.9992,0.3733,0.9895,0.9899,0.3226,0.3125,1430
1200,153600,0.0743,0.9773,0.9713,0.9833,0.7852,0.5363,0.9819,0.5181,1559
1300,166400,0.0699,0.9158,0.8344,0.9973,0.4785,0.2782,0.9980,0.2762,1688
1400,179200,0.0574,0.9798,0.9686,0.9911,0.7384,0.5000,0.9919,0.4919,1816
1500,192000,0.0492,0.9792,0.9649,0.9934,0.6287,0.4718,0.9960,0.4677,1945
1600,204800,0.0482,0.9429,0.9960,0.8898,0.9470,0.8770,0.8710,0.7480,2074
1700,217600,0.0385,0.9783,0.9952,0.9614,0.9422,0.7762,0.9556,0.7319,2203
1800,230400,0.0353,0.9801,0.9977,0.9625,0.9701,0.7823,0.9597,0.7419,2332
