run,global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
s44_constant,100,12800,0.5288,0.8237,0.9293,0.718,0.7269,0.8065,0.5,0.3065,135
s44_constant,200,25600,0.2802,0.8816,0.89,0.8731,0.6507,0.7399,0.7399,0.4798,264
s44_constant,300,38400,0.2256,0.8951,0.9652,0.825,0.9065,0.8629,0.6653,0.5282,394
s44_constant,400,51200,0.1949,0.7669,0.9921,0.5416,0.9863,0.9677,0.3085,0.2762,523
s44_constant,500,64000,0.1772,0.9144,0.8575,0.9714,0.5704,0.5565,0.9435,0.5,652
s44_constant,600,76800,0.1548,0.8587,0.9912,0.7262,0.9428,0.9214,0.5766,0.498,781
s44_constant,700,89600,0.1435,0.8639,0.9897,0.7381,0.9706,0.9073,0.6149,0.5222,912
s44_constant,800,102400,0.1281,0.9395,0.9551,0.9239,0.803,0.7399,0.9032,0.6431,1041
s44_constant,900,115200,0.1119,0.8341,0.9946,0.6736,0.9722,0.9597,0.5262,0.4859,1171
s44_constant,1000,128000,0.106,0.9691,0.9803,0.958,0.7831,0.6794,0.9415,0.621,1300
s44_constant,1100,140800,0.0863,0.9641,0.9472,0.9811,0.5819,0.5605,0.9839,0.5444,1428
s44_constant,1200,153600,0.0789,0.9343,0.8783,0.9902,0.6208,0.4032,0.9919,0.3952,1559
s44_constant,1300,166400,0.0652,0.965,0.9524,0.9776,0.7174,0.6431,0.9456,0.5887,1688
s44_constant,1400,179200,0.0666,0.944,0.892,0.9959,0.5819,0.2984,0.994,0.2923,1816
s44_constant,1500,192000,0.053,0.9681,0.9396,0.9966,0.5935,0.3165,0.998,0.3145,1946
s44_constant,1600,204800,0.0492,0.9731,0.9936,0.9526,0.9496,0.7621,0.9456,0.7077,2075
s44_constant,1700,217600,0.041,0.9849,0.9878,0.9819,0.8734,0.5524,0.9839,0.5363,2204
s44_constant,1800,230400,0.038,0.9869,0.9809,0.9928,0.6586,0.4597,0.996,0.4556,2332
s48_constant,100,12800,0.5281,0.8186,0.8268,0.8104,0.6355,0.6754,0.6815,0.3569,137
s48_constant,200,25600,0.2932,0.8057,0.9834,0.6281,0.8666,0.9073,0.4637,0.371,265
s48_constant,300,38400,0.2256,0.9172,0.8996,0.9347,0.7327,0.6714,0.8992,0.5706,395
s48_constant,400,51200,0.1903,0.895,0.9832,0.8068,0.8487,0.9133,0.6694,0.5827,525
s48_constant,500,64000,0.1655,0.9313,0.8949,0.9678,0.6523,0.6452,0.9516,0.5968,656
s48_constant,600,76800,0.1489,0.9456,0.9342,0.957,0.7532,0.7298,0.9032,0.6331,785
s48_constant,700,89600,0.1319,0.9406,0.9238,0.9573,0.5746,0.625,0.9456,0.5706,914
s48_constant,800,102400,0.1245,0.937,0.8892,0.9848,0.4737,0.504,0.9778,0.4819,1043
s48_constant,900,115200,0.1004,0.9498,0.9809,0.9186,0.7742,0.7661,0.8931,0.6593,1172
s48_constant,1000,128000,0.0888,0.7323,0.4657,0.999,0.2022,0.0806,0.998,0.0786,1302
s48_constant,1100,140800,0.0768,0.9681,0.984,0.9523,0.875,0.7782,0.9315,0.7097,1431
s48_constant,1200,153600,0.0679,0.9389,0.9972,0.8807,0.8824,0.8931,0.7581,0.6512,1560
s48_constant,1300,166400,0.0619,0.9744,0.9571,0.9917,0.6429,0.3649,0.996,0.3609,1689
s48_constant,1400,179200,0.0486,0.9616,0.9984,0.9249,0.9223,0.873,0.9093,0.7823,1818
s48_constant,1500,192000,0.0391,0.9185,0.838,0.999,0.4359,0.1613,1.0,0.1613,1947
s48_constant,1600,204800,0.0381,0.9873,0.9817,0.993,0.6828,0.498,0.9919,0.4899,2077
s48_constant,1700,217600,0.0371,0.9145,0.8298,0.9993,0.4076,0.0706,1.0,0.0706,2205
s48_constant,1800,230400,0.0326,0.8824,0.7655,0.9994,0.2721,0.0625,1.0,0.0625,2333
s53_constant,100,12800,0.505,0.8029,0.9666,0.6392,0.9086,0.881,0.4698,0.3508,136
s53_constant,200,25600,0.2745,0.8945,0.9055,0.8836,0.8372,0.6774,0.7923,0.4698,265
