epoch	step	train_loss	val_acc	val_loss	time
0	92	0.7471	0.6100	0.6708	94
1	184	0.5933	0.6600	0.6253	190
2	276	0.3896	0.8050	0.4582	287
3	368	0.1959	0.5725	1.9290	383
4	460	0.0754	0.7750	0.7317	483
5	552	0.0425	0.7225	1.1571	584
6	644	0.0282	0.8100	0.7053	680
7	736	0.0271	0.8125	0.7442	773
8	828	0.0202	0.8825	0.3554	869
9	920	0.0084	0.8900	0.3150	964
10	1012	0.0056	0.8900	0.3560	1063
11	1104	0.0028	0.8975	0.2958	1158
12	1196	0.0026	0.8950	0.3114	1252
13	1288	0.0018	0.8975	0.3249	1348
14	1380	0.0018	0.9100	0.3086	1440
15	1472	0.0016	0.9025	0.3206	1535
16	1564	0.0014	0.9050	0.3118	1630
17	1656	0.0012	0.9125	0.3064	1730
18	1748	0.0009	0.9100	0.3150	1828
19	1840	0.0014	0.9125	0.3077	1921
