epoch	step	train_loss	val_acc	val_loss	time
0	92	0.7580	0.6250	0.6578	97
1	184	0.5978	0.6750	0.6105	192
2	276	0.3943	0.6925	0.6620	287
3	368	0.1852	0.8325	0.3717	382
4	460	0.1001	0.7525	0.7727	477
5	552	0.0507	0.8475	0.4943	574
6	644	0.0269	0.8250	0.6714	670
7	736	0.0146	0.8875	0.3254	766
8	828	0.0087	0.8975	0.2925	864
9	920	0.0038	0.8975	0.2799	956
10	1012	0.0037	0.9075	0.2579	1055
11	1104	0.0034	0.9000	0.2864	1148
12	1196	0.0030	0.9050	0.2683	1247
13	1288	0.0030	0.9025	0.2689	1339
14	1380	0.0030	0.9075	0.2753	1433
# test_acc=0.8733  test_loss=0.4049
