epoch	step	loss_d	loss_g_adv	loss_g_lpips	val_lpips	time
0	184	0.3821	1.4797	0.1531	0.1853	93
1	368	0.4875	2.6251	0.1335	0.1271	189
2	552	0.2933	2.2621	0.0873	0.0901	291
3	736	0.0860	3.8115	0.0880	0.0805	387
4	920	0.4956	5.4204	0.0753	0.0710	487
5	1104	0.4398	3.5973	0.0675	0.0574	584
6	1288	0.8612	1.3062	0.0517	0.0557	684
7	1472	0.5931	1.7943	0.0511	0.0562	781
8	1656	0.8813	1.8454	0.0470	0.0515	877
9	1840	0.3807	1.9270	0.0441	0.0488	973
10	2024	0.2420	3.2710	0.0438	0.0419	1072
11	2208	0.4026	1.7175	0.0370	0.0403	1170
12	2392	0.2664	2.3557	0.0360	0.0396	1267
13	2576	0.4685	1.7075	0.0420	0.0400	1364
14	2760	0.9040	0.8765	0.0358	0.0328	1461
15	2944	0.4302	1.3836	0.0316	0.0309	1557
16	3128	0.4787	1.6604	0.0314	0.0339	1652
17	3312	0.5022	2.6516	0.0315	0.0312	1751
18	3496	0.4363	1.4935	0.0308	0.0301	1848
19	3680	0.5939	1.4157	0.0268	0.0252	1944
20	3864	0.4316	1.5945	0.0265	0.0227	2039
21	4048	0.5331	2.0442	0.0240	0.0250	2136
22	4232	0.3685	1.8657	0.0247	0.0196	2235
23	4416	0.4911	1.6110	0.0235	0.0209	2331
24	4600	0.3616	1.7675	0.0260	0.0203	2428
25	4784	0.3473	1.5338	0.0250	0.0287	2527
26	4968	0.3649	1.7777	0.0339	0.0319	2623
27	5152	1.5986	0.7407	0.0294	0.0245	2720
28	5336	0.5475	2.7135	0.0155	0.0228	2817
29	5520	0.6101	1.3321	0.0303	0.0226	2915
30	5704	0.3386	1.6029	0.0206	0.0230	3011
31	5888	0.2677	2.4709	0.0179	0.0212	3108
32	6072	0.3755	1.4630	0.0269	0.0207	3205
33	6256	0.8342	1.5237	0.0228	0.0239	3301
34	6440	0.3386	2.4289	0.0259	0.0226	3398
35	6624	0.4159	0.9694	0.0218	0.0204	3495
36	6808	0.3233	2.1816	0.0256	0.0194	3595
37	6992	0.5317	1.7501	0.0282	0.0342	3693
38	7176	0.3190	3.8853	0.0361	0.0267	3792
39	7360	0.5030	1.5044	0.0316	0.0325	3888
