already completed: 5
loading /home/trabbani/pico-banana-400k/jsonl/sft.jsonl ...
  257730 SFT entries
sampled 300 entries (seed=200)
pending: 295; model=gemini-2.5-flash-image; size=512
[  1/295] ok=1 fail=0  (    5s, 0.20/s, ETA  24.0 min)
[  5/295] ok=5 fail=0  (   28s, 0.18/s, ETA  27.2 min)
[ 10/295] ok=10 fail=0  (   56s, 0.18/s, ETA  26.6 min)
[ 15/295] ok=15 fail=0  (   83s, 0.18/s, ETA  25.7 min)
[ 20/295] ok=20 fail=0  (  111s, 0.18/s, ETA  25.5 min)
[ 25/295] ok=25 fail=0  (  139s, 0.18/s, ETA  24.9 min)
[ 30/295] ok=30 fail=0  (  166s, 0.18/s, ETA  24.4 min)
[ 35/295] ok=35 fail=0  (  193s, 0.18/s, ETA  23.9 min)
[ 40/295] ok=40 fail=0  (  218s, 0.18/s, ETA  23.2 min)
[ 45/295] ok=45 fail=0  (  244s, 0.18/s, ETA  22.6 min)
[ 50/295] ok=50 fail=0  (  275s, 0.18/s, ETA  22.5 min)
[ 55/295] ok=55 fail=0  (  301s, 0.18/s, ETA  21.9 min)
[ 60/295] ok=60 fail=0  (  326s, 0.18/s, ETA  21.3 min)
[ 65/295] FAIL slot=69: no_image_part_in_response
[ 70/295] ok=69 fail=1  (  398s, 0.18/s, ETA  21.3 min)
[ 75/295] ok=74 fail=1  (  426s, 0.18/s, ETA  20.8 min)
[ 80/295] ok=79 fail=1  (  455s, 0.18/s, ETA  20.4 min)
[ 85/295] ok=84 fail=1  (  484s, 0.18/s, ETA  19.9 min)
[ 90/295] ok=89 fail=1  (  510s, 0.18/s, ETA  19.4 min)
[ 95/295] ok=94 fail=1  (  535s, 0.18/s, ETA  18.8 min)
[100/295] ok=99 fail=1  (  561s, 0.18/s, ETA  18.2 min)
[105/295] ok=104 fail=1  (  591s, 0.18/s, ETA  17.8 min)
[110/295] ok=109 fail=1  (  622s, 0.18/s, ETA  17.4 min)
[115/295] ok=114 fail=1  (  653s, 0.18/s, ETA  17.0 min)
[120/295] ok=119 fail=1  (  682s, 0.18/s, ETA  16.6 min)
[125/295] ok=124 fail=1  (  710s, 0.18/s, ETA  16.1 min)
[130/295] ok=129 fail=1  (  736s, 0.18/s, ETA  15.6 min)
[135/295] ok=134 fail=1  (  762s, 0.18/s, ETA  15.0 min)
[140/295] ok=139 fail=1  (  788s, 0.18/s, ETA  14.5 min)
[145/295] ok=144 fail=1  (  813s, 0.18/s, ETA  14.0 min)
[150/295] ok=149 fail=1  (  839s, 0.18/s, ETA  13.5 min)
[155/295] ok=154 fail=1  (  864s, 0.18/s, ETA  13.0 min)
[160/295] ok=159 fail=1  (  896s, 0.18/s, ETA  12.6 min)
[165/295] ok=164 fail=1  (  922s, 0.18/s, ETA  12.1 min)
[170/295] ok=169 fail=1  (  950s, 0.18/s, ETA  11.6 min)
[175/295] ok=174 fail=1  (  979s, 0.18/s, ETA  11.2 min)
[180/295] ok=179 fail=1  ( 1008s, 0.18/s, ETA  10.7 min)
[185/295] ok=184 fail=1  ( 1034s, 0.18/s, ETA  10.2 min)
[190/295] ok=189 fail=1  ( 1061s, 0.18/s, ETA   9.8 min)
[195/295] ok=194 fail=1  ( 1092s, 0.18/s, ETA   9.3 min)
[200/295] ok=199 fail=1  ( 1118s, 0.18/s, ETA   8.9 min)
[205/295] ok=204 fail=1  ( 1145s, 0.18/s, ETA   8.4 min)
[210/295] ok=209 fail=1  ( 1171s, 0.18/s, ETA   7.9 min)
[215/295] ok=214 fail=1  ( 1198s, 0.18/s, ETA   7.4 min)
[220/295] ok=219 fail=1  ( 1227s, 0.18/s, ETA   7.0 min)
[225/295] ok=224 fail=1  ( 1253s, 0.18/s, ETA   6.5 min)
[230/295] ok=229 fail=1  ( 1279s, 0.18/s, ETA   6.0 min)
[235/295] ok=234 fail=1  ( 1308s, 0.18/s, ETA   5.6 min)
[240/295] ok=239 fail=1  ( 1334s, 0.18/s, ETA   5.1 min)
[245/295] ok=244 fail=1  ( 1360s, 0.18/s, ETA   4.6 min)
[250/295] ok=249 fail=1  ( 1384s, 0.18/s, ETA   4.2 min)
[255/295] ok=254 fail=1  ( 1410s, 0.18/s, ETA   3.7 min)
[260/295] ok=259 fail=1  ( 1435s, 0.18/s, ETA   3.2 min)
[265/295] ok=264 fail=1  ( 1463s, 0.18/s, ETA   2.8 min)
[270/295] ok=269 fail=1  ( 1489s, 0.18/s, ETA   2.3 min)
[275/295] ok=274 fail=1  ( 1516s, 0.18/s, ETA   1.8 min)
[280/295] ok=279 fail=1  ( 1542s, 0.18/s, ETA   1.4 min)
[285/295] ok=284 fail=1  ( 1573s, 0.18/s, ETA   0.9 min)
[290/295] ok=289 fail=1  ( 1599s, 0.18/s, ETA   0.5 min)
[295/295] ok=294 fail=1  ( 1630s, 0.18/s, ETA   0.0 min)

done. ok=294 fail=1  total time=1630s
